,time,price,pchange,change,volume,amount,type
0,15:01:39,19.73,-0.55,0.0,0,0,ÂôÅÌ
1,15:00:21,19.73,-0.55,0.01,1019,2010487,ÂôÅÌ
2,14:57:38,19.72,-0.60,0.0,0,0,ÖÐÐÔÅÌ
3,14:57:05,19.72,-0.60,0.0,23,45356,ÂòÅÌ
4,14:56:59,19.72,-0.60,0.0,92,181424,ÂôÅÌ
5,14:56:56,19.72,-0.60,0.0,1,1972,ÂôÅÌ
6,14:56:53,19.72,-0.60,0.0,33,65076,ÂôÅÌ
7,14:56:50,19.72,-0.60,0.01,16,31552,ÂòÅÌ
8,14:56:47,19.71,-0.66,0.0,44,86724,ÂôÅÌ
9,14:56:44,19.71,-0.66,0.0,392,772632,ÂôÅÌ
10,14:56:41,19.71,-0.66,0.0,8,15768,ÂôÅÌ
11,14:56:35,19.71,-0.66,0.0,67,132057,ÂòÅÌ
12,14:56:32,19.71,-0.66,0.0,43,84753,ÂòÅÌ
13,14:56:29,19.71,-0.66,0.0,7,13797,ÂòÅÌ
14,14:56:23,19.71,-0.66,0.0,10,19710,ÂòÅÌ
15,14:56:20,19.71,-0.66,0.0,10,19710,ÂòÅÌ
16,14:56:17,19.71,-0.66,-0.01,26,51246,ÂôÅÌ
17,14:56:14,19.72,-0.60,0.0,5,9860,ÂòÅÌ
18,14:56:08,19.72,-0.60,0.01,22,43384,ÂòÅÌ
19,14:55:59,19.71,-0.66,0.0,66,130086,ÂôÅÌ
20,14:55:56,19.71,-0.66,0.0,36,70956,ÂôÅÌ
21,14:55:53,19.71,-0.66,0.0,4,7884,ÂôÅÌ
22,14:55:50,19.71,-0.66,-0.01,1,1971,ÂôÅÌ
23,14:55:47,19.72,-0.60,0.02,106,209032,ÂòÅÌ
24,14:55:44,19.7,-0.71,0.0,24,47280,ÂôÅÌ
25,14:55:41,19.7,-0.71,0.0,20,39400,ÂôÅÌ
26,14:55:35,19.7,-0.71,0.0,37,72890,ÂòÅÌ
27,14:55:32,19.7,-0.71,0.0,11,21670,ÂòÅÌ
28,14:55:29,19.7,-0.71,0.0,11,21670,ÂòÅÌ
29,14:55:29,19.7,-0.71,0.0,11,21670,ÖÐÐÔÅÌ
30,14:55:29,19.7,-0.71,0.0,11,21670,ÂòÅÌ
31,14:55:26,19.7,-0.71,0.0,150,295500,ÂòÅÌ
32,14:55:17,19.7,-0.71,0.0,22,43340,ÂòÅÌ
33,14:55:14,19.7,-0.71,-0.01,28,55160,ÂôÅÌ
34,14:54:56,19.71,-0.66,0.01,5,9855,ÂòÅÌ
35,14:54:53,19.7,-0.71,-0.01,2,3940,ÂôÅÌ
36,14:54:50,19.71,-0.66,0.01,199,392229,ÂòÅÌ
37,14:54:47,19.7,-0.71,0.0,5,9850,ÂôÅÌ
38,14:54:44,19.7,-0.71,0.0,2,3940,ÂòÅÌ
39,14:54:41,19.7,-0.71,0.0,5,9850,ÂôÅÌ
40,14:54:38,19.7,-0.71,0.0,208,409760,ÂôÅÌ
41,14:54:35,19.7,-0.71,0.0,41,80770,ÂôÅÌ
42,14:54:32,19.7,-0.71,0.01,25,49486,ÂòÅÌ
43,14:54:29,19.69,-0.76,-0.01,12,23628,ÂôÅÌ
44,14:54:26,19.7,-0.71,0.0,32,63040,ÂòÅÌ
45,14:54:23,19.7,-0.71,0.0,15,29550,ÂòÅÌ
46,14:54:17,19.7,-0.71,0.0,100,197000,ÂòÅÌ
47,14:54:11,19.7,-0.71,0.01,148,291560,ÂòÅÌ
48,14:54:08,19.69,-0.76,-0.01,30,59070,ÂôÅÌ
49,14:54:05,19.7,-0.71,0.0,25,49250,ÂòÅÌ
50,14:54:02,19.7,-0.71,0.0,100,197000,ÂòÅÌ
51,14:53:59,19.7,-0.71,0.0,129,254130,ÂòÅÌ
52,14:53:56,19.7,-0.71,0.01,74,145780,ÂòÅÌ
53,14:53:50,19.69,-0.76,-0.01,2,3938,ÂôÅÌ
54,14:53:47,19.7,-0.71,0.01,10,19700,ÂòÅÌ
55,14:53:44,19.69,-0.76,0.0,62,122078,ÂòÅÌ
56,14:53:41,19.69,-0.76,0.0,89,175241,ÂòÅÌ
57,14:53:35,19.69,-0.76,0.0,125,246125,ÂôÅÌ
58,14:53:32,19.69,-0.76,-0.01,127,250063,ÂôÅÌ
59,14:53:26,19.7,-0.71,0.01,44,86680,ÂòÅÌ
60,14:53:23,19.69,-0.76,-0.01,2,3938,ÂôÅÌ
61,14:53:20,19.7,-0.71,0.0,20,39400,ÂòÅÌ
62,14:53:17,19.7,-0.71,0.0,16,31520,ÂòÅÌ
63,14:53:14,19.7,-0.71,0.01,15,29550,ÂòÅÌ
64,14:53:08,19.69,-0.76,0.01,20,39380,ÂôÅÌ
65,14:53:02,19.68,-0.81,-0.01,30,59040,ÂôÅÌ
66,14:52:56,19.69,-0.76,0.01,43,84667,ÂòÅÌ
67,14:52:47,19.68,-0.81,0.0,9,17712,ÂòÅÌ
68,14:52:41,19.68,-0.81,0.01,3,5904,ÂôÅÌ
69,14:52:38,19.67,-0.86,-0.03,244,479948,ÂôÅÌ
70,14:52:35,19.7,-0.71,0.02,63,124110,ÂòÅÌ
71,14:52:32,19.68,-0.81,0.0,24,47232,ÂôÅÌ
72,14:52:29,19.68,-0.81,0.0,48,94464,ÂòÅÌ
73,14:52:26,19.68,-0.81,0.01,61,120048,ÂòÅÌ
74,14:52:23,19.67,-0.86,-0.01,10,19670,ÂôÅÌ
75,14:52:20,19.68,-0.81,0.0,106,208608,ÂòÅÌ
76,14:52:17,19.68,-0.81,0.01,30,59040,ÂòÅÌ
77,14:52:14,19.67,-0.86,-0.01,45,88515,ÂôÅÌ
78,14:52:11,19.68,-0.81,-0.02,227,446736,ÂôÅÌ
79,14:52:08,19.7,-0.71,0.0,24,47280,ÂòÅÌ
80,14:51:56,19.7,-0.71,0.01,4,7880,ÂòÅÌ
81,14:51:53,19.69,-0.76,0.0,6,11814,ÂôÅÌ
82,14:51:44,19.69,-0.76,-0.01,1,1969,ÂôÅÌ
83,14:51:41,19.7,-0.71,0.0,8,15760,ÂòÅÌ
84,14:51:38,19.7,-0.71,0.0,3,5910,ÂòÅÌ
85,14:51:32,19.7,-0.71,0.0,129,255864,ÂôÅÌ
86,14:51:29,19.7,-0.71,-0.02,16,31520,ÂôÅÌ
